cid	name	formula	weight	xlogp	rotb	hb_donor	hb_aceptor	heavy_atom	synonym	iso_smile	inchi
21976	None	C27H44ClNO8	546.098	None	0	8	9	37	Germine hydrochloride	C[C@H]1CC[C@H]2[C@@](C3[C@H]([C@@H]([C@@]4(C(C3C[NH+]2C1)C[C@@]56C4[C@@H](CC7[C@@]5(CC[C@@H]([C@]7(O6)O)O)C)O)O)O)O)(C)O.[Cl-]	InChI=1S/C27H43NO8.ClH/c1-12-4-5-17-24(3,33)19-13(11-28(17)10-12)14-9-25-21(26(14,34)22(32)20(19)31)15(29)8-16-23(25,2)7-6-18(30)27(16,35)36-25;/h12-22,29-35H,4-11H2,1-3H3;1H/t12-,13?,14?,15+,16?,17-,18-,19?,20+,21?,22-,23-,24+,25+,26-,27-;/m0./s1
21160	2,3-dihydro-1H-inden-1-yl-[[4-[(2,3-dihydro-1H-inden-1-ylazaniumyl)methyl]-1-bicyclo[2.2.2]octanyl]methyl]azanium;dichloride	C28H38Cl2N2	473.526	None	6	2	2	32	N,N'-Bis(1-indanyl)-1,4-bicyclo(2.2.2)octanebis(methylamine) dihydrochloride	C1CC2=CC=CC=C2C1[NH2+]CC34CCC(CC3)(CC4)C[NH2+]C5CCC6=CC=CC=C56.[Cl-].[Cl-]	InChI=1S/C28H36N2.2ClH/c1-3-7-23-21(5-1)9-11-25(23)29-19-27-13-16-28(17-14-27,18-15-27)20-30-26-12-10-22-6-2-4-8-24(22)26;;/h1-8,25-26,29-30H,9-20H2;2*1H
20508	2-cyclohexylethanol	C8H16O	128.215	2.6	2	1	1	9	2-Cyclohexylethanol	C1CCC(CC1)CCO	InChI=1S/C8H16O/c9-7-6-8-4-2-1-3-5-8/h8-9H,1-7H2
20440	4-chloro-6-methoxy-N-propyl-1,3,5-triazin-2-amine	C7H11ClN4O	202.642	2.5	4	1	5	13	4407-72-1	CCCNC1=NC(=NC(=N1)Cl)OC	InChI=1S/C7H11ClN4O/c1-3-4-9-6-10-5(8)11-7(12-6)13-2/h3-4H2,1-2H3,(H,9,10,11,12)
20370	(2-methyl-2-pentyl-1,3-dioxolan-4-yl)methanol	C10H20O3	188.267	1.8	5	1	3	13	Glyketal	CCCCCC1(OCC(O1)CO)C	InChI=1S/C10H20O3/c1-3-4-5-6-10(2)12-8-9(7-11)13-10/h9,11H,3-8H2,1-2H3
20194	1-N,1-N-bis(2-chloroethyl)-4-N-(6-chloro-2-methoxyacridin-9-yl)pentane-1,4-diamine	C23H28Cl3N3O	468.847	6.5	11	1	4	30	quinacrine mustard	CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC	InChI=1S/C23H28Cl3N3O/c1-16(4-3-11-29(12-9-24)13-10-25)27-23-19-7-5-17(26)14-22(19)28-21-8-6-18(30-2)15-20(21)23/h5-8,14-16H,3-4,9-13H2,1-2H3,(H,27,28)
22524	N,N-dihydroxy-4-[(4-iminocyclohexa-2,5-dien-1-ylidene)amino]aniline	C12H11N3O2	229.239	1.1	2	3	5	17		C1=CC(=NC2=CC=C(C=C2)N(O)O)C=CC1=N	InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,13,16-17H
24955	1H-imidazole-2-carbaldehyde	C4H4N2O	96.089	-0.1	1	1	2	7	Imidazole-2-carboxaldehyde	C1=CN=C(N1)C=O	InChI=1S/C4H4N2O/c7-3-4-5-1-2-6-4/h1-3H,(H,5,6)
26262	1,1-dichloro-2-propoxycyclopropane	C6H10Cl2O	169.045	2.3	3	0	1	9	1,1-Dichloro-2-propoxycyclopropane	CCCOC1CC1(Cl)Cl	InChI=1S/C6H10Cl2O/c1-2-3-9-5-4-6(5,7)8/h5H,2-4H2,1H3
21544	2-[(4-dihydroxyarsanylbenzoyl)amino]acetic acid	C9H10AsNO5	287.103	None	4	4	5	16	p-(Dihydroxyarsino)hippuric acid	C1=CC(=CC=C1C(=O)NCC(=O)O)[As](O)O	InChI=1S/C9H10AsNO5/c12-8(13)5-11-9(14)6-1-3-7(4-2-6)10(15)16/h1-4,15-16H,5H2,(H,11,14)(H,12,13)
47274	2-(2-acetamidophenyl)sulfanylethyl-diethyl-methylazanium	C15H25N2OS+	281.438	2.3	7	1	2	19	AC1Q5NQF	CC[N+](C)(CC)CCSC1=CC=CC=C1NC(=O)C	InChI=1S/C15H24N2OS/c1-5-17(4,6-2)11-12-19-15-10-8-7-9-14(15)16-13(3)18/h7-10H,5-6,11-12H2,1-4H3/p+1
20730	None	C21H12O	280.326	5.6	0	0	1	22	13H-DIBENZO(A,H)FLUOREN-13-ONE	C1=CC=C2C(=C1)C=CC3=C2C(=O)C4=CC5=CC=CC=C5C=C34	InChI=1S/C21H12O/c22-21-19-12-15-7-2-1-6-14(15)11-18(19)17-10-9-13-5-3-4-8-16(13)20(17)21/h1-12H
24891	3-[2,4-diphenyl-3-[3-(trimethylazaniumyl)propoxycarbonyl]cyclobutanecarbonyl]oxypropyl-trimethylazanium	C30H44N2O4+2	496.692	4	14	0	4	36	AC1L2NQZ	C[N+](C)(C)CCCOC(=O)C1C(C(C1C2=CC=CC=C2)C(=O)OCCC[N+](C)(C)C)C3=CC=CC=C3	InChI=1S/C30H44N2O4/c1-31(2,3)19-13-21-35-29(33)27-25(23-15-9-7-10-16-23)28(26(27)24-17-11-8-12-18-24)30(34)36-22-14-20-32(4,5)6/h7-12,15-18,25-28H,13-14,19-22H2,1-6H3/q+2
20523	N,N'-diphenylhexanediamide	C18H20N2O2	296.37	2.6	7	2	2	22	Adipic dianilide	C1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=CC=C2	InChI=1S/C18H20N2O2/c21-17(19-15-9-3-1-4-10-15)13-7-8-14-18(22)20-16-11-5-2-6-12-16/h1-6,9-12H,7-8,13-14H2,(H,19,21)(H,20,22)
24091	N-[2-(diethylamino)ethyl]octadecanamide	C24H50N2O	382.677	8.7	21	1	2	27	Lexamine 22	CCCCCCCCCCCCCCCCCC(=O)NCCN(CC)CC	InChI=1S/C24H50N2O/c1-4-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-24(27)25-22-23-26(5-2)6-3/h4-23H2,1-3H3,(H,25,27)
44564	2-[2-chloro-5-cyano-3-(oxaloamino)anilino]-2-oxoacetic acid	C11H6ClN3O6	311.634	0.5	4	4	7	21	Lodoxamide	C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N	InChI=1S/C11H6ClN3O6/c12-7-5(14-8(16)10(18)19)1-4(3-13)2-6(7)15-9(17)11(20)21/h1-2H,(H,14,16)(H,15,17)(H,18,19)(H,20,21)
34868	(2-hexadecoxy-2-oxoethyl)-[2-[(2-hexadecoxy-2-oxoethyl)-dimethylazaniumyl]ethyl]-dimethylazanium	C42H86N2O4+2	683.16	15.7	39	0	4	48	AC1L1SHC	CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCCCC	InChI=1S/C42H86N2O4/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-47-41(45)39-43(3,4)35-36-44(5,6)40-42(46)48-38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2/h7-40H2,1-6H3/q+2
40362	2-[2-(5-chloro-2-methyl-1,3-benzodioxol-2-yl)ethylazaniumyl]ethyl-diethylazanium;dichloride	C16H27Cl3N2O2	385.754	None	8	2	4	23	AC1L23KU	CC[NH+](CC)CC[NH2+]CCC1(OC2=C(O1)C=C(C=C2)Cl)C.[Cl-].[Cl-]	InChI=1S/C16H25ClN2O2.2ClH/c1-4-19(5-2)11-10-18-9-8-16(3)20-14-7-6-13(17)12-15(14)21-16;;/h6-7,12,18H,4-5,8-11H2,1-3H3;2*1H
22331	4-(chloromethyl)-2,2-dimethyl-1,3-dithiolane	C6H11ClS2	182.724	2.7	1	0	2	9	4-(Chloromethyl)-2,2-dimethyl-1,3-dithiolane	CC1(SCC(S1)CCl)C	InChI=1S/C6H11ClS2/c1-6(2)8-4-5(3-7)9-6/h5H,3-4H2,1-2H3
40222	2-[2-(5-bicyclo[2.2.1]hept-2-enyl)-2-hydroxy-2-phenylacetyl]oxyethyl-trimethylazanium;bromide	C20H28BrNO3	410.352	None	7	1	4	25	ENDOBENZYLINE BROMIDE	C[N+](C)(C)CCOC(=O)C(C1CC2CC1C=C2)(C3=CC=CC=C3)O.[Br-]	InChI=1S/C20H28NO3.BrH/c1-21(2,3)11-12-24-19(22)20(23,17-7-5-4-6-8-17)18-14-15-9-10-16(18)13-15;/h4-10,15-16,18,23H,11-14H2,1-3H3;1H/q+1;/p-1
26915	6-chloro-2-[5-(6-chloro-3-methyl-1,3-benzothiazol-3-ium-2-yl)penta-2,4-dienylidene]-3-methyl-1,3-benzothiazole;iodide	C21H17Cl2IN2S2	559.305	None	3	0	4	28		CN1C2=C(C=C(C=C2)Cl)SC1=CC=CC=CC3=[N+](C4=C(S3)C=C(C=C4)Cl)C.[I-]	InChI=1S/C21H17Cl2N2S2.HI/c1-24-16-10-8-14(22)12-18(16)26-20(24)6-4-3-5-7-21-25(2)17-11-9-15(23)13-19(17)27-21;/h3-13H,1-2H3;1H/q+1;/p-1
47525	butyl-ethyl-dimethylplumbane	C8H20Pb	323.448	None	4	0	0	9	BUTYLETHYLDIMETHYLPLUMBANE	CCCC[Pb](C)(C)CC	InChI=1S/C4H9.C2H5.2CH3.Pb/c1-3-4-2;1-2;;;/h1,3-4H2,2H3;1H2,2H3;2*1H3;
24195	2-(1,4-dioxaspiro[4.5]decan-3-yl)piperidin-1-ium;chloride	C13H24ClNO2	261.79	None	1	1	3	17	2-(2-Piperidyl)-1,4-dioxaspiro(4.5)decane hydrochloride	C1CCC2(CC1)OCC(O2)C3CCCC[NH2+]3.[Cl-]	InChI=1S/C13H23NO2.ClH/c1-3-7-13(8-4-1)15-10-12(16-13)11-6-2-5-9-14-11;/h11-12,14H,1-10H2;1H
24729	3-amino-2,4,5-trichlorobenzoic acid;1-[bis(2-hydroxypropyl)amino]propan-2-ol;2-(2,4-dichlorophenoxy)acetic acid	C24H31Cl5N2O8	652.768	None	10	6	10	39	2,4-D mixture with Picloram	CC(CN(CC(C)O)CC(C)O)O.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O.C1=C(C(=C(C(=C1Cl)Cl)N)Cl)C(=O)O	InChI=1S/C9H21NO3.C8H6Cl2O3.C7H4Cl3NO2/c1-7(11)4-10(5-8(2)12)6-9(3)13;9-5-1-2-7(6(10)3-5)13-4-8(11)12;8-3-1-2(7(12)13)4(9)6(11)5(3)10/h7-9,11-13H,4-6H2,1-3H3;1-3H,4H2,(H,11,12);1H,11H2,(H,12,13)
34528	1-propan-2-ylnaphthalene;2-propan-2-ylnaphthalene	C26H28	340.51	None	2	0	0	26	AC1L1RR0	CC(C)C1=CC2=CC=CC=C2C=C1.CC(C)C1=CC=CC2=CC=CC=C21	InChI=1S/2C13H14/c1-10(2)12-9-5-7-11-6-3-4-8-13(11)12;1-10(2)12-8-7-11-5-3-4-6-13(11)9-12/h2*3-10H,1-2H3
25692	diethyl-[2-(3-hydroxy-4-methoxycarbonylanilino)-2-oxoethyl]-methylazanium;iodide	C15H23IN2O4	422.263	None	7	2	5	22	Methyl 4-(2-(diethylamino)acetylamino)salicylate, methiodide	CC[N+](C)(CC)CC(=O)NC1=CC(=C(C=C1)C(=O)OC)O.[I-]	InChI=1S/C15H22N2O4.HI/c1-5-17(3,6-2)10-14(19)16-11-7-8-12(13(18)9-11)15(20)21-4;/h7-9H,5-6,10H2,1-4H3,(H-,16,18,19,20);1H
41847	[2-(4-amino-3-cyano-5-fluorophenyl)-2-hydroxyethyl]-tert-butylazanium;chloride	C13H19ClFN3O	287.763	None	4	3	5	19	Benzonitrile, 2-amino-5-(2-(tert-butylamino)-1-hydroxyethyl)-3-fluoro-, hydrochloride	CC(C)(C)[NH2+]CC(C1=CC(=C(C(=C1)C#N)N)F)O.[Cl-]	InChI=1S/C13H18FN3O.ClH/c1-13(2,3)17-7-11(18)8-4-9(6-15)12(16)10(14)5-8;/h4-5,11,17-18H,7,16H2,1-3H3;1H
25014	2-chloro-5-ethyl-7,9,10,14b-tetrahydroisoquinolino[2,1-d][1,4]benzodiazepin-6-one	C19H19ClN2O	326.824	3.6	1	0	2	23	BRN 0763065	CCN1C(=O)CN2CCC3=CC=CC=C3C2C4=C1C=CC(=C4)Cl	InChI=1S/C19H19ClN2O/c1-2-22-17-8-7-14(20)11-16(17)19-15-6-4-3-5-13(15)9-10-21(19)12-18(22)23/h3-8,11,19H,2,9-10,12H2,1H3
24206	2,4-dimethyl-6-propyl-1,3,5-triazine	C8H13N3	151.213	2	2	0	3	11	2,4-dimethyl-6-propyl-1,3,5-triazine	CCCC1=NC(=NC(=N1)C)C	InChI=1S/C8H13N3/c1-4-5-8-10-6(2)9-7(3)11-8/h4-5H2,1-3H3
26691	[2-hydroxy-2-(1,2,3,4-tetrahydronaphthalen-2-yl)ethyl]-propan-2-ylazanium;chloride	C15H24ClNO	269.813	None	4	2	2	18	2-Naphthalenemethanol, 1,2,3,4-tetrahydro-alpha-((isopropylamino)methyl)-, hydrochloride	CC(C)[NH2+]CC(C1CCC2=CC=CC=C2C1)O.[Cl-]	InChI=1S/C15H23NO.ClH/c1-11(2)16-10-15(17)14-8-7-12-5-3-4-6-13(12)9-14;/h3-6,11,14-17H,7-10H2,1-2H3;1H
20939	2,4-dichloro-6-(diazomethyl)-1,3,5-triazine	C4HCl2N5	189.987	2.1	1	0	4	11	4803-05-8	C(=[N+]=[N-])C1=NC(=NC(=N1)Cl)Cl	InChI=1S/C4HCl2N5/c5-3-9-2(1-8-7)10-4(6)11-3/h1H
33058	2-(dimethylhydrazinylidene)-1-(4-phenylsulfanylphenyl)ethanone	C16H16N2OS	284.377	4.1	5	0	4	20		CN(C)N=CC(=O)C1=CC=C(C=C1)SC2=CC=CC=C2	InChI=1S/C16H16N2OS/c1-18(2)17-12-16(19)13-8-10-15(11-9-13)20-14-6-4-3-5-7-14/h3-12H,1-2H3
22991	(3-carboxy-4-methyl-3-naphthalen-1-ylpentyl)-diethylazanium;chloride	C21H30ClNO2	363.926	None	8	2	3	25	1-Naphthaleneacetic acid, alpha-(2-(diethylamino)ethyl)-alpha-isopropyl-, hydrochloride	CC[NH+](CC)CCC(C1=CC=CC2=CC=CC=C21)(C(C)C)C(=O)O.[Cl-]	InChI=1S/C21H29NO2.ClH/c1-5-22(6-2)15-14-21(16(3)4,20(23)24)19-13-9-11-17-10-7-8-12-18(17)19;/h7-13,16H,5-6,14-15H2,1-4H3,(H,23,24);1H
20402	4-(hydroxymethyl)-5-methyl-2-propan-2-ylphenol	C11H16O2	180.247	2.2	2	2	2	13	Thymotinic alcohol	CC1=CC(=C(C=C1CO)C(C)C)O	InChI=1S/C11H16O2/c1-7(2)10-5-9(6-12)8(3)4-11(10)13/h4-5,7,12-13H,6H2,1-3H3
26265	indium(3+);trinitrate	InN3O9	300.83	None	0	0	9	13	INDIUM NITRATE	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[In+3]	InChI=1S/In.3NO3/c;3*2-1(3)4/q+3;3*-1
32615	N-tert-butyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine	C9H10Cl6N4	386.907	4.6	2	1	4	19	AC1L1O1X	CC(C)(C)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	InChI=1S/C9H10Cl6N4/c1-7(2,3)19-6-17-4(8(10,11)12)16-5(18-6)9(13,14)15/h1-3H3,(H,16,17,18,19)
47346	N-(13-methyltetradecyl)acetamide	C17H35NO	269.473	6.5	13	1	1	19	Capsi-amide	CC(C)CCCCCCCCCCCCNC(=O)C	InChI=1S/C17H35NO/c1-16(2)14-12-10-8-6-4-5-7-9-11-13-15-18-17(3)19/h16H,4-15H2,1-3H3,(H,18,19)
32556	2,4-dihydroxy-3,3-dimethyl-N-(4,7,7-trimethyl-3-bicyclo[2.2.1]heptanyl)butanamide	C16H29NO3	283.412	2.4	4	3	3	20	(+-)-endo-N-(2-Bornyl)-2,4-dihydroxy-3,3-dimethylbutyramide	CC1(C2CCC1(C(C2)NC(=O)C(C(C)(C)CO)O)C)C	InChI=1S/C16H29NO3/c1-14(2,9-18)12(19)13(20)17-11-8-10-6-7-16(11,5)15(10,3)4/h10-12,18-19H,6-9H2,1-5H3,(H,17,20)
47294	1-[2-(2-cyanoaziridin-1-yl)propan-2-yl]aziridine-2-carboxamide	C9H14N4O	194.238	-0.6	3	1	4	14	Azimexon	CC(C)(N1CC1C#N)N2CC2C(=O)N	InChI=1S/C9H14N4O/c1-9(2,12-4-6(12)3-10)13-5-7(13)8(11)14/h6-7H,4-5H2,1-2H3,(H2,11,14)
47383	4-propylheptan-4-yl-bis(prop-1-ynyl)azanium;chloride	C16H28ClN	269.857	None	7	1	1	18	LCG 21626	CCCC(CCC)(CCC)[NH+](C#CC)C#CC.[Cl-]	InChI=1S/C16H27N.ClH/c1-6-11-16(12-7-2,13-8-3)17(14-9-4)15-10-5;/h6-8,11-13H2,1-5H3;1H
47285	5-pent-2-enyl-5-propyl-1,3-diazinane-2,4,6-trione	C12H18N2O3	238.287	2.2	5	2	3	17		CCCC1(C(=O)NC(=O)NC1=O)CC=CCC	InChI=1S/C12H18N2O3/c1-3-5-6-8-12(7-4-2)9(15)13-11(17)14-10(12)16/h5-6H,3-4,7-8H2,1-2H3,(H2,13,14,15,16,17)
22162	2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate;hydrochloride	C17H26ClNO3	327.849	None	7	2	4	22	CYCLOPENTOLATE HYDROCHLORIDE	CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O.Cl	InChI=1S/C17H25NO3.ClH/c1-18(2)12-13-21-16(19)15(14-8-4-3-5-9-14)17(20)10-6-7-11-17;/h3-5,8-9,15,20H,6-7,10-13H2,1-2H3;1H
26252	2-propan-2-ylidenecyclohexan-1-one	C9H14O	138.21	2.4	0	0	1	10	Cyclohexanone, 2-isopropylidene-	CC(=C1CCCCC1=O)C	InChI=1S/C9H14O/c1-7(2)8-5-3-4-6-9(8)10/h3-6H2,1-2H3
24345	iodic acid	HIO3	175.909	-0.3	0	1	3	4	Iodic acid	OI(=O)=O	InChI=1S/HIO3/c2-1(3)4/h(H,2,3,4)
20716	5-[(4-chlorophenoxy)methyl]-5-methylimidazolidine-2,4-dione	C11H11ClN2O3	254.67	1.5	3	2	3	17	BRN 0800325	CC1(C(=O)NC(=O)N1)COC2=CC=C(C=C2)Cl	InChI=1S/C11H11ClN2O3/c1-11(9(15)13-10(16)14-11)6-17-8-4-2-7(12)3-5-8/h2-5H,6H2,1H3,(H2,13,14,15,16)
23999	francium monohydride	FrH	224.028	None	0	0	0	1		[FrH]	InChI=1S/Fr.H
34573	bis(2,4-dimethoxyphenyl)diazene	C16H18N2O4	302.33	3.6	6	0	6	22	BIS(2,4-DIMETHOXYPHENYL)DIAZENE	COC1=CC(=C(C=C1)N=NC2=C(C=C(C=C2)OC)OC)OC	InChI=1S/C16H18N2O4/c1-19-11-5-7-13(15(9-11)21-3)17-18-14-8-6-12(20-2)10-16(14)22-4/h5-10H,1-4H3
21642	1-bromo-3,3-dimethylbutan-2-one	C6H11BrO	179.057	2.1	2	0	1	8	1-Bromopinacolone	CC(C)(C)C(=O)CBr	InChI=1S/C6H11BrO/c1-6(2,3)5(8)4-7/h4H2,1-3H3
21393	2,3-dibromopropyl dihydrogen phosphate	C3H7Br2O4P	297.867	0	4	2	4	10	2,3-Dibromopropyl dihydrogen phosphate	C(C(CBr)Br)OP(=O)(O)O	InChI=1S/C3H7Br2O4P/c4-1-3(5)2-9-10(6,7)8/h3H,1-2H2,(H2,6,7,8)
21689	2-methylsulfanyl-4,6-bis(1,1,2-trichloroethyl)-1,3,5-triazine	C8H7Cl6N3S	389.925	3.9	5	0	4	18	5516-48-3	CSC1=NC(=NC(=N1)C(CCl)(Cl)Cl)C(CCl)(Cl)Cl	InChI=1S/C8H7Cl6N3S/c1-18-6-16-4(7(11,12)2-9)15-5(17-6)8(13,14)3-10/h2-3H2,1H3
27034	trimethyl-[3-[2-[3-(trimethylazaniumyl)propoxyimino]ethylideneamino]oxypropyl]azanium	C14H32N4O2+2	288.436	1.6	11	0	4	20		C[N+](C)(C)CCCON=CC=NOCCC[N+](C)(C)C	InChI=1S/C14H32N4O2/c1-17(2,3)11-7-13-19-15-9-10-16-20-14-8-12-18(4,5)6/h9-10H,7-8,11-14H2,1-6H3/q+2
25110	N-phenyl-3-(3,4,5-trimethoxyphenyl)prop-2-enamide	C18H19NO4	313.353	3.1	6	1	4	23	N-phenyl-3-(3,4,5-trimethoxyphenyl)prop-2-enamide	COC1=CC(=CC(=C1OC)OC)C=CC(=O)NC2=CC=CC=C2	InChI=1S/C18H19NO4/c1-21-15-11-13(12-16(22-2)18(15)23-3)9-10-17(20)19-14-7-5-4-6-8-14/h4-12H,1-3H3,(H,19,20)
20944	sulfanide;tributylstannane;tributylstannanylium	C24H56SSn2	614.192	None	18	1	1	27		CCCC[SnH](CCCC)CCCC.CCCC[Sn+](CCCC)CCCC.[SH-]	InChI=1S/6C4H9.H2S.2Sn.H/c6*1-3-4-2;;;;/h6*1,3-4H2,2H3;1H2;;;/q;;;;;;;;+1;/p-1
23541	1-N',4-N'-bis[4-(N'-methylcarbamimidoyl)phenyl]benzene-1,4-dicarboximidamide	C24H26N8	426.528	1.5	6	4	4	32	UNII-7071M27DUH	CN=C(C1=CC=C(C=C1)N=C(C2=CC=C(C=C2)C(=NC3=CC=C(C=C3)C(=NC)N)N)N)N	InChI=1S/C24H26N8/c1-29-21(25)15-7-11-19(12-8-15)31-23(27)17-3-5-18(6-4-17)24(28)32-20-13-9-16(10-14-20)22(26)30-2/h3-14H,1-2H3,(H2,25,29)(H2,26,30)(H2,27,31)(H2,28,32)
42059	propan-2-yl N-ethyl-N-phenylcarbamate	C12H17NO2	207.273	2.9	4	0	2	15	CARBANILIC ACID, N-ETHYL-ISOPROPYL ESTER	CCN(C1=CC=CC=C1)C(=O)OC(C)C	InChI=1S/C12H17NO2/c1-4-13(12(14)15-10(2)3)11-8-6-5-7-9-11/h5-10H,4H2,1-3H3
31131	8-methylpentadecane	C16H34	226.448	8.6	12	0	0	16	8-METHYLPENTADECANE	CCCCCCCC(C)CCCCCCC	InChI=1S/C16H34/c1-4-6-8-10-12-14-16(3)15-13-11-9-7-5-2/h16H,4-15H2,1-3H3
27625	[5-oxo-4-(3-oxobutyl)-1,2-diphenylpyrazol-3-yl] 3,4,5-trimethoxybenzoate	C29H28N2O7	516.55	4.6	11	0	8	38	BRN 0870258	CC(=O)CCC1=C(N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)OC(=O)C4=CC(=C(C(=C4)OC)OC)OC	InChI=1S/C29H28N2O7/c1-19(32)15-16-23-27(33)30(21-11-7-5-8-12-21)31(22-13-9-6-10-14-22)28(23)38-29(34)20-17-24(35-2)26(37-4)25(18-20)36-3/h5-14,17-18H,15-16H2,1-4H3
47316	1-(2,4-dichlorophenyl)-N-[(2,4-dichlorophenyl)methoxy]-2-imidazol-1-ylethanimine;nitric acid	C18H14Cl4N4O4	492.134	None	6	1	6	30	64211-46-7	C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-]	InChI=1S/C18H13Cl4N3O.HNO3/c19-13-2-1-12(16(21)7-13)10-26-24-18(9-25-6-5-23-11-25)15-4-3-14(20)8-17(15)22;2-1(3)4/h1-8,11H,9-10H2;(H,2,3,4)
27522	(1-methylpyridin-1-ium-3-yl) N-methyl-N-[6-[methyl-(1-methylpyridin-1-ium-3-yl)oxycarbonylamino]hexyl]carbamate;dibromide	C22H32Br2N4O4	576.33	None	11	0	6	32	distigmine bromide	C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C.[Br-].[Br-]	InChI=1S/C22H32N4O4.2BrH/c1-23-13-9-11-19(17-23)29-21(27)25(3)15-7-5-6-8-16-26(4)22(28)30-20-12-10-14-24(2)18-20;;/h9-14,17-18H,5-8,15-16H2,1-4H3;2*1H/q+2;;/p-2
24126	2,4,6-trinitrobenzoyl chloride	C7H2ClN3O7	275.557	1.2	1	0	7	18	2,4,6-Trinitrobenzoyl chloride	C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)Cl)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C7H2ClN3O7/c8-7(12)6-4(10(15)16)1-3(9(13)14)2-5(6)11(17)18/h1-2H
20561	2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl 3-phenylprop-2-enoate	C21H23ClN2O2	370.877	4.5	7	0	4	26		C1CN(CCN1CCOC(=O)C=CC2=CC=CC=C2)C3=CC=C(C=C3)Cl	InChI=1S/C21H23ClN2O2/c22-19-7-9-20(10-8-19)24-14-12-23(13-15-24)16-17-26-21(25)11-6-18-4-2-1-3-5-18/h1-11H,12-17H2
32356	sodium;5-butan-2-yl-4,6-dioxo-5-prop-2-enyl-1H-pyrimidin-2-olate	C11H15N2NaO3	246.242	None	4	1	3	17		CCC(C)C1(C(=O)NC(=NC1=O)[O-])CC=C.[Na+]	InChI=1S/C11H16N2O3.Na/c1-4-6-11(7(3)5-2)8(14)12-10(16)13-9(11)15;/h4,7H,1,5-6H2,2-3H3,(H2,12,13,14,15,16);/q;+1/p-1
22020	2-[4-[2-[4-[2-(diethylamino)ethoxy]phenyl]-1H-indol-3-yl]phenoxy]-N,N-diethylethanamine	C32H41N3O2	499.699	6.8	14	1	4	37	BRN 1556958	CCN(CC)CCOC1=CC=C(C=C1)C2=C(NC3=CC=CC=C32)C4=CC=C(C=C4)OCCN(CC)CC	InChI=1S/C32H41N3O2/c1-5-34(6-2)21-23-36-27-17-13-25(14-18-27)31-29-11-9-10-12-30(29)33-32(31)26-15-19-28(20-16-26)37-24-22-35(7-3)8-4/h9-20,33H,5-8,21-24H2,1-4H3
21209	4-chlorobenzene-1,3-diamine	C6H7ClN2	142.586	0.8	0	2	2	9	4-Chlorobenzene-1,3-diamine	C1=CC(=C(C=C1N)N)Cl	InChI=1S/C6H7ClN2/c7-5-2-1-4(8)3-6(5)9/h1-3H,8-9H2
47344	[(R)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate	C24H25NO3	375.468	5.8	7	0	4	28	(1R)-trans-(alphaR)-cyphenothrin	CC(=C[C@@H]1[C@H](C1(C)C)C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C	InChI=1S/C24H25NO3/c1-16(2)13-20-22(24(20,3)4)23(26)28-21(15-25)17-9-8-12-19(14-17)27-18-10-6-5-7-11-18/h5-14,20-22H,1-4H3/t20-,21+,22+/m1/s1
22000	10-methylacridin-10-ium	C14H12N+	194.257	3.7	0	0	0	15	N-Methylacridine	C[N+]1=C2C=CC=CC2=CC3=CC=CC=C31	InChI=1S/C14H12N/c1-15-13-8-4-2-6-11(13)10-12-7-3-5-9-14(12)15/h2-10H,1H3/q+1
